"UserPrincipalName","StartDateTime","EndDateTime","CallerNumber","CalleeNumber","FromDescription","ToDescription","PstnGateway","CallDirection","Duration","Rate","CallCharge","ChargeTo","ChargeToCompany","ChargeToDepartment","Id","CorrelationId","SuccessfulCall","Debug","ReferredByNumberRegion"
"demo.amy@ucgeek.co","29/06/2020 8:15:31 AM","29/06/2020 8:15:31 AM","+6594705***","+6498926***","SINGAPORE :: Mobile","NEW ZEALAND :: NZ Not Selected","ucgeek.sbc2.voiceswitch.nz","Inbound Call","0","0","0","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","a1a3d0ee-9e73-547a-9734-e60543980e48","669de024-58b6-4808-986c-052d8042c821","False","SipCode: 487 MsCode: 540487 Info: ORIGINATOR_CANCEL","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:48:43 AM","15/07/2020 7:48:46 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","3","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","4bff00af-4835-5d23-a299-2b33356e4dc5","c9597ab1-8c41-4544-a152-11906153213f","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:51:58 AM","15/07/2020 7:52:03 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","5","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","d111d82c-4345-5a3b-881a-3862105f3aed","13c2bb17-a97b-4372-bec2-9172507dbbc0","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:52:22 AM","15/07/2020 7:52:46 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","24","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","610c160a-f2dc-520b-938a-e3d6860dd106","13494ed7-fee5-4f08-ba7a-a4bc4e5407ef","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:53:00 AM","15/07/2020 7:53:06 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","6","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","3ff4cb51-5776-56a4-93f4-8aad3fd43acf","638ebce6-7981-42c0-82ac-53959427d358","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:53:24 AM","15/07/2020 7:53:29 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","5","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","0eb95a65-d0c8-5156-bd19-b425000b0fdc","0d73f37c-2cd2-4494-a89c-bf1208959753","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:53:43 AM","15/07/2020 7:53:47 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","4","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","6e1cc2f7-f3a3-5d51-b6dc-c537c21a5aaf","f8a05bd9-dd35-4572-a562-e863f1eb1b04","True","SipCode: 0 MsCode: 560000 Info: Q.850;cause=16;text=""NORMAL_CLEARING""","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:54:03 AM","15/07/2020 7:54:06 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","3","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","06491a9e-ca1d-54f8-9dc2-77ce273c470b","974678d0-f59d-4688-930a-ba61ab1026b2","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:54:42 AM","15/07/2020 7:55:22 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","40","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","2aa5c885-2cd4-5c8d-8a29-c65fb1ae0ed4","f947578e-68c8-4d82-bdd0-4680c3c12a6b","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
"demo.amy@ucgeek.co","15/07/2020 7:55:35 AM","15/07/2020 7:55:39 AM","+6498926***","+6421882***","NEW ZEALAND :: NZ Not Selected","NEW ZEALAND :: Mobile","ucgeek.sbc2.voiceswitch.nz","Outbound Call","4","0.07","0.07","Amy Alberts (UC Geek) (demo.amy@ucgeek.co)","**Need to do an AD lookup**","**Need to do an AD lookup**","7e04a56b-cbce-51e3-b767-e359d6d4342c","a33354c5-c584-43ee-b2ca-26d447e3ab9d","True","SipCode: 0 MsCode: 0 Info: CallEndReasonLocalUserInitiated","**Need to find a way to related records - so far looks difficult**"
